	f3bc810a-edc7-4412-9e09-006c0bcf2550
	tumor
AC005832.4	0
AC005833.1	0
AC005833.2	0
AC005833.3	0
AC005837.1	0.076478873
AC005837.2	0
AC005837.3	0
AC005838.1	0
AC005838.2	0
AC005839.1	0.220696176
AC005840.1	0.487639031
AC005840.2	0.844839161
AC005840.3	0
AC005840.4	0.789200683
AC005841.1	0.183016341
AC005842.1	0.107745005
AC005845.1	0.040218752
AC005856.1	0
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0
AC005865.1	0.026227874
AC005865.2	0.011403754
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0
AC005884.2	0
AC005899.1	0.139944112
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0.047577618
AC005899.6	0.442135437
AC005899.7	0.133994107
AC005899.8	0.015229252
AC005901.1	0
AC005906.1	0
AC005906.2	0.253572296
AC005908.1	0
AC005908.2	0
AC005909.1	0
AC005911.1	0.633533541
AC005912.1	11.12308728
AC005912.2	0
AC005915.1	0.013014294
AC005920.1	0
AC005920.2	0.079104955
AC005920.3	0
AC005920.4	0
AC005921.1	0
AC005921.2	0
AC005921.3	0.012209598
AC005943.1	0.026210424
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0
AC005954.2	0
AC005962.1	0.201402185
AC005972.1	0.028796979
AC005972.2	0
AC005972.3	0
AC005993.1	3.506122879
AC005996.1	0
AC005999.1	0
AC006001.1	0
AC006001.2	1.20394705
AC006001.3	0.54441757
AC006001.4	15.69121876
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0
AC006012.1	0
AC006013.1	0
AC006015.1	0
AC006017.1	0
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0
AC006022.1	0
AC006023.1	0
AC006023.2	0
AC006026.1	0
AC006026.2	0
AC006026.3	0
AC006027.1	0
AC006028.1	0
AC006030.1	0.005191312
AC006033.1	0.061649871
AC006033.2	0.440383071
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0.150359799
AC006042.2	0
AC006042.3	0.035756086
AC006042.4	0.075904176
AC006055.1	0
AC006058.1	0.015549346
AC006058.2	0
AC006058.3	0
AC006058.4	0.015726254
AC006059.1	0.200735121
AC006063.1	0
AC006064.1	0.046897937
AC006064.2	0.454457244
AC006064.3	0.11011675
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0.544307668
AC006076.1	0
AC006077.1	0
AC006077.2	0.057467932
AC006111.1	0
AC006111.2	0.073772036
AC006111.3	0
AC006115.1	0.101597079
AC006115.2	0
AC006116.1	0
AC006116.10	0.226014156
AC006116.2	0.026581827
AC006116.3	0
AC006116.4	0.058103639
AC006116.5	2.020218843
AC006116.6	0
AC006116.7	0
AC006116.8	0.031055788
AC006116.9	0
AC006122.1	0.059688284
AC006128.1	0.15811466
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0
AC006144.1	0.016414278
AC006145.1	0
AC006146.1	0
AC006148.1	0
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	0
AC006158.1	0
AC006159.1	0
AC006159.2	0
AC006160.1	0
AC006195.1	0
AC006197.1	0
AC006199.1	0
AC006205.1	0
AC006205.2	0
AC006206.1	0
AC006206.2	1.915681334
AC006210.1	0
AC006210.2	0
AC006213.1	0.081253216
AC006213.2	0.071854569
AC006213.3	0.101597079
AC006213.4	0.952753051
AC006213.5	0.091190434
AC006213.6	0.018853442
AC006236.1	0
AC006237.1	0.05471426
AC006238.1	0.147544073
AC006249.1	0
AC006252.1	0.095414514
AC006254.1	0.024952822
AC006254.2	0
AC006254.3	0
AC006262.1	0.19993707
AC006262.2	0.12373543
AC006262.3	0
AC006262.4	0.734625034
AC006270.1	0.109886381
AC006270.2	0.040280437
AC006270.3	0
AC006272.1	0.285465706
AC006272.2	0.062087104
AC006273.1	0.061005447
AC006277.1	0.228372565
AC006288.1	0
AC006296.1	0
AC006296.2	0
AC006299.1	0.043391731
AC006305.1	1.378123382
AC006305.2	0.095155235
AC006305.3	0
AC006326.1	0
AC006328.1	0
AC006329.1	0.298018099
AC006329.2	0.133313934
AC006330.1	0.052869341
AC006333.1	0
AC006333.2	1.801738768
AC006335.1	0
AC006335.2	0
AC006335.3	0
AC006338.1	0
AC006338.2	0
AC006349.1	0
AC006355.1	0
AC006355.2	0
