	88d2f686-ae1a-4375-93d9-febc927f0082
	tumor
AC005840.2	1.036036756
AC005840.3	0.033043556
AC005840.4	0.366880933
AC005841.1	0.478575085
AC005842.1	0.309920316
AC005845.1	0.042067703
AC005856.1	0.19209937
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0.01832569
AC005865.1	0.393215388
AC005865.2	0.202776191
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	0
AC005884.2	0.111215425
AC005899.1	0
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	0.099529746
AC005899.6	0.924922891
AC005899.7	0.140154132
AC005899.8	0
AC005901.1	0.099529746
AC005906.1	0
AC005906.2	0.56834917
AC005908.1	0
AC005908.2	0
AC005909.1	0
AC005911.1	1.204833766
AC005912.1	26.60839936
AC005912.2	0.045783683
AC005915.1	0
AC005920.1	0.026748013
AC005920.2	0
AC005920.3	0.022351676
AC005920.4	0.22333504
AC005921.1	0
AC005921.2	0
AC005921.3	0.051083607
AC005943.1	0
AC005943.2	0
AC005944.1	0
AC005951.1	0
AC005954.1	0.489083855
AC005954.2	0
AC005962.1	0.33705779
AC005972.1	0.060241688
AC005972.2	0
AC005972.3	0
AC005993.1	1.729862082
AC005996.1	0
AC005999.1	0
AC006001.1	0.173862088
AC006001.2	2.37216098
AC006001.3	2.122479534
AC006001.4	13.90896702
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006011.1	0
AC006011.2	0.094888462
AC006012.1	1.351645637
AC006013.1	0
AC006015.1	0
AC006017.1	0.326540385
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	0.088900356
AC006022.1	0
AC006023.1	0
AC006023.2	0.164492275
AC006026.1	0
AC006026.2	0
AC006026.3	4.610384872
AC006027.1	0
AC006028.1	0.136667711
AC006030.1	0.016289905
AC006033.1	0.128968121
AC006033.2	0.15354284
AC006037.1	0
AC006037.2	0
AC006041.1	0
AC006042.1	0.314544388
AC006042.2	0
AC006042.3	0.149599509
AC006042.4	0.039696835
AC006055.1	0
AC006058.1	0.086742324
AC006058.2	0
AC006058.3	0.154182656
AC006058.4	0.06579691
AC006059.1	0.17496949
AC006063.1	0.049053946
AC006064.1	0
AC006064.2	0.525386527
AC006064.3	1.554917539
AC006064.4	0
AC006064.5	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	0
AC006065.5	0
AC006065.6	0
AC006070.1	0
AC006076.1	0
AC006077.1	0
AC006077.2	1.021867763
AC006111.1	0
AC006111.2	0.823077449
AC006111.3	0.215171357
AC006115.1	0
AC006115.2	0
AC006116.1	0.088572763
AC006116.10	0.189123648
AC006116.2	0.055607712
AC006116.3	0
AC006116.4	0
AC006116.5	0.294850195
AC006116.6	0.024904995
AC006116.7	0
AC006116.8	0.173245312
AC006116.9	0
AC006122.1	0.187296885
AC006128.1	1.174223299
AC006130.1	0
AC006130.2	0
AC006133.1	0
AC006141.1	0.037977249
AC006144.1	0.085844406
AC006145.1	0
AC006146.1	0
AC006148.1	0
AC006148.2	0
